Name, ShortName
"HORN ISLAND", "HORN ISLAND"
"DARWIN AIRPORT", "DARWIN"
"WEIPA AERO", "WEIPA"
"KALUMBURU", "KALUMBURU"
"PALMERVILLE", "PALMERVILLE"
"VICTORIA RIVER DOWNS", "VICTORIA DOWNS"
"CAIRNS AERO", "CAIRNS"
"NORMANTON AIRPORT", "NORMANTON"
"BURKETOWN AIRPORT", "BURKETOWN"
"BROOME AIRPORT", "BROOME"
"HALLS CREEK METEOROLOGICAL OFFICE", "HALLS CREEK"
"GEORGETOWN AIRPORT", "GEORGETOWN"
"TOWNSVILLE AERO", "TOWNSVILLE"
"TENNANT CREEK AIRPORT", "TENNANT CREEK"
"CAMOOWEAL TOWNSHIP", "CAMOOWEAL TOWNSHIP"
"CHARTERS TOWERS AIRPORT", "CHARTERS TOWERS"
"RABBIT FLAT", "RABBIT FLAT"
"PORT HEDLAND AIRPORT", "PORT HEDLAND"
"RICHMOND POST OFFICE", "RICHMOND"
"MACKAY M.O", "MACKAY"
"MARBLE BAR", "MARBLE BAR"
"LEARMONTH AIRPORT", "LEARMONTH"
"WITTENOOM", "WITTENOOM"
"BOULIA AIRPORT", "BOULIA"
"ROCKHAMPTON AERO", "ROCKHAMPTON"
"LONGREACH AERO", "LONGREACH"
"BARCALDINE POST OFFICE", "BARCALDINE"
"ALICE SPRINGS AIRPORT", "ALICE SPRINGS"
"CARNARVON AIRPORT", "CARNARVON"
"BUNDABERG AERO", "BUNDABERG"
"GILES METEOROLOGICAL OFFICE", "GILES"
"GAYNDAH AIRPORT", "GAYNDAH"
"BIRDSVILLE AIRPORT", "BIRDSVILLE"
"CHARLEVILLE AERO", "CHARLEVILLE"
"MEEKATHARRA AIRPORT", "MEEKATHARRA"
"MILES CONSTANCE STREET", "MILES"
"CAPE MORETON LIGHTHOUSE", "CAPE MORETON"
"BRISBANE AERO", "BRISBANE"
"OODNADATTA AIRPORT", "OODNADATTA"
"AMBERLEY AMO", "AMBERLEY"
"THARGOMINDAH AIRPORT", "THARGOMINDAH"
"ST GEORGE AIRPORT", "ST GEORGE"
"GERALDTON AIRPORT", "GERALDTON"
"MORAWA AIRPORT", "MORAWA"
"YAMBA PILOT STATION", "YAMBA"
"TIBOOBURRA AIRPORT", "TIBOOBURRA"
"MOREE AERO", "MOREE"
"MARREE AERO", "MARREE"
"INVERELL (RAGLAN ST)", "INVERELL"
"BOURKE AIRPORT AWS", "BOURKE"
"WALGETT AIRPORT AWS", "WALGETT"
"DALWALLINU", "DALWALLINU"
"COFFS HARBOUR AIRPORT", "COFFS HARBOUR"
"TARCOOLA AERO", "TARCOOLA"
"KALGOORLIE-BOULDER AIRPORT", "KALGOORLIE"
"FORREST", "FORREST"
"GUNNEDAH RESOURCE CENTRE", "GUNNEDAH"
"WOOMERA AERODROME", "WOOMERA"
"PORT MACQUARIE AIRPORT AWS", "PORT MACQUARIE"
"MERREDIN", "MERREDIN"
"COBAR MO", "COBAR"
"WILCANNIA AERODROME AWS", "WILCANNIA"
"CUNDERDIN AIRFIELD", "CUNDERDIN"
"EUCLA", "EUCLA"
"PERTH AIRPORT", "PERTH"
"SCONE AIRPORT AWS", "SCONE AIRPORT"
"CEDUNA AMO", "CEDUNA"
"DUBBO AIRPORT AWS", "DUBBO"
"WANDERING", "WANDERING"
"WILLIAMTOWN RAAF", "WILLIAMTOWN"
"KYANCUTTA", "KYANCUTTA"
"BATHURST AGRICULTURAL STATION", "BATHURST"
"RICHMOND RAAF", "RICHMOND"
"KATANNING", "KATANNING"
"RAYVILLE PARK", "RAYVILLE PARK"
"ESPERANCE", "ESPERANCE"
"SYDNEY (OBSERVATORY HILL)", "SYDNEY"
"WEST WYALONG AIRPORT AWS", "WEST WYALONG"
"BRIDGETOWN", "BRIDGETOWN"
"MILDURA AIRPORT", "MILDURA"
"CAPE LEEUWIN", "CAPE LEEUWIN"
"NURIOOTPA PIRSA", "NURIOOTPA PIRSA"
"PORT LINCOLN AWS", "PORT LINCOLN"
"KENT TOWN", "KENT TOWN"
"ALBANY AIRPORT", "ALBANY"
"NOWRA RAN AIR STATION AWS", "NOWRA RAN"
"POINT PERPENDICULAR AWS", "POINT PERPENDICULAR"
"WAGGA WAGGA AMO", "WAGGA WAGGA"
"CANBERRA AIRPORT", "CANBERRA"
"DENILIQUIN AIRPORT AWS", "DENILIQUIN"
"KERANG", "KERANG"
"CAPE BORDA", "CAPE BORDA"
"MORUYA HEADS PILOT STATION", "MORUYA HEADS"
"CABRAMURRA SMHEA AWS", "CABRAMURRA"
"RUTHERGLEN RESEARCH", "RUTHERGLEN"
"NHILL AERODROME", "NHILL"
"ROBE", "ROBE"
"GABO ISLAND LIGHTHOUSE", "GABO ISLAND"
"ORBOST", "ORBOST"
"MOUNT GAMBIER AERO", "MOUNT GAMBIER"
"MELBOURNE (OLYMPIC PARK)", "MELBOURNE"
"LAVERTON RAAF", "LAVERTON"
"EAST SALE", "EAST SALE"
"CAPE OTWAY LIGHTHOUSE", "CAPE OTWAY"
"WILSONS PROMONTORY LIGHTHOUSE", "MOUNT OBERON"
"LARAPUNA (EDDYSTONE POINT)", "LARAPUNA"
"LOW HEAD", "LOW HEAD"
"LAUNCESTON AIRPORT", "LAUNCESTON"
"BUTLERS GORGE", "BUTLERS GORGE"
"HOBART (ELLERSLIE ROAD)", "HOBART"
"GROVE (RESEARCH STATION)", "GROVE"
"CAPE BRUNY LIGHTHOUSE", "CAPE BRUNY"
